"Table 17. Life table for non-Hispanic black males: United States, 2017",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
92–93,0.181294,"9,261","1,679","8,421","36,554",3.9,,,,
93–94,0.195311,"7,582","1,481","6,841","28,133",3.7,,,,
94–95,0.209942,"6,101","1,281","5,461","21,291",3.5,,,,
95–96,0.225147,"4,820","1,085","4,277","15,831",3.3,,,,
96–97,0.240871,"3,735",900,"3,285","11,553",3.1,,,,
97–98,0.257055,"2,835",729,"2,471","8,268",2.9,,,,
98–99,0.273627,"2,106",576,"1,818","5,797",2.8,,,,
99–100,0.290510,"1,530",444,"1,308","3,979",2.6,,,,
100 ,1.000000,"1,086","1,086","2,671","2,671",2.5,,,,
NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.,,,,,,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,,,,,
