"Table 13. Life table for the non-Hispanic white population: United States, 2017",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
53–54,0.005373,"92,388",496,"92,140","2,676,534",29.0,,,,
54–55,0.005864,"91,892",539,"91,622","2,584,394",28.1,,,,
55–56,0.006363,"91,353",581,"91,062","2,492,772",27.3,,,,
56–57,0.006859,"90,772",623,"90,460","2,401,709",26.5,,,,
57–58,0.007361,"90,149",664,"89,817","2,311,249",25.6,,,,
58–59,0.007881,"89,485",705,"89,133","2,221,432",24.8,,,,
59–60,0.008434,"88,780",749,"88,406","2,132,299",24.0,,,,
60–61,0.009037,"88,032",796,"87,634","2,043,893",23.2,,,,
61–62,0.009682,"87,236",845,"86,814","1,956,259",22.4,,,,
62–63,0.010352,"86,391",894,"85,944","1,869,445",21.6,,,,
63–64,0.011039,"85,497",944,"85,025","1,783,501",20.9,,,,
64–65,0.011757,"84,553",994,"84,056","1,698,476",20.1,,,,
65–66,0.012517,"83,559","1,046","83,036","1,614,420",19.3,,,,
66–67,0.013406,"82,513","1,106","81,960","1,531,384",18.6,,,,
67–68,0.014422,"81,407","1,174","80,820","1,449,423",17.8,,,,
68–69,0.015627,"80,233","1,254","79,606","1,368,603",17.1,,,,
69–70,0.017055,"78,979","1,347","78,306","1,288,997",16.3,,,,
70–71,0.018465,"77,632","1,433","76,915","1,210,692",15.6,,,,
71–72,0.020450,"76,199","1,558","75,420","1,133,776",14.9,,,,
72–73,0.022267,"74,640","1,662","73,809","1,058,357",14.2,,,,
73–74,0.024381,"72,978","1,779","72,089","984,547",13.5,,,,
74–75,0.026555,"71,199","1,891","70,254","912,458",12.8,,,,
75–76,0.029340,"69,308","2,034","68,292","842,204",12.2,,,,
76–77,0.032400,"67,275","2,180","66,185","773,913",11.5,,,,
77–78,0.035929,"65,095","2,339","63,926","707,728",10.9,,,,
78–79,0.039801,"62,756","2,498","61,508","643,802",10.3,,,,
79–80,0.043997,"60,259","2,651","58,933","582,294",9.7,,,,
80–81,0.048869,"57,607","2,815","56,200","523,361",9.1,,,,
81–82,0.054019,"54,792","2,960","53,312","467,161",8.5,,,,
82–83,0.060143,"51,832","3,117","50,274","413,849",8.0,,,,
83–84,0.067643,"48,715","3,295","47,067","363,575",7.5,,,,
84–85,0.075294,"45,420","3,420","43,710","316,508",7.0,,,,
85–86,0.083530,"42,000","3,508","40,246","272,798",6.5,,,,
86–87,0.092160,"38,492","3,547","36,718","232,552",6.0,,,,
87–88,0.103553,"34,944","3,619","33,135","195,834",5.6,,,,
88–89,0.116069,"31,326","3,636","29,508","162,699",5.2,,,,
89–90,0.129750,"27,690","3,593","25,893","133,191",4.8,,,,
90–91,0.144619,"24,097","3,485","22,355","107,298",4.5,,,,
91–92,0.160683,"20,612","3,312","18,956","84,943",4.1,,,,
92–93,0.177923,"17,300","3,078","15,761","65,987",3.8,,,,
93–94,0.196295,"14,222","2,792","12,826","50,226",3.5,,,,
94–95,0.215726,"11,430","2,466","10,197","37,400",3.3,,,,
95–96,0.236116,"8,964","2,117","7,906","27,203",3.0,,,,
96–97,0.257333,"6,848","1,762","5,967","19,297",2.8,,,,
97–98,0.279220,"5,086","1,420","4,376","13,330",2.6,,,,
98–99,0.301597,"3,666","1,106","3,113","8,954",2.4,,,,
99–100,0.324266,"2,560",830,"2,145","5,841",2.3,,,,
100 ,1.000000,"1,730","1,730","3,696","3,696",2.1,,,,
NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.,,,,,,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,,,,,
